P_Name,Surname,Nationality,Salary,NewSalary
Yi,Jianlian,"united states",1980533.00,1742869.04
Coby,Karl,"united states",1197329.00,1053649.52
Carl,Landry,"united states",3272488.00,2879789.44
Keith,Langford,"united states",2982096.00,2624244.48
St�phane,Lasme,"united states",3246147.00,2856609.36
Acie,Law,"united states",705316.00,620678.08
Ian,Mahinmi,"united states",3863570.00,3399941.60
Jelani,McCoy,"united states",2985642.00,2627364.96
Dominic,McGuire,"united states",2289333.00,2014613.04
Josh,McRoberts,"united states",3511769.00,3090356.72
Jamario,Moon,"united states",3292054.00,2897007.52
Juan,Navarro,"united states",203402.00,178993.76
Demetris,Nichols,"united states",3244479.00,2855141.52
Joakim,Noah,"united states",3872698.00,3407974.24
Oleksiy,Pecherov,"united states",311324.00,273965.12
Kosta,Perovic,"united states",2590503.00,2279642.64
Kasib,Powell,"united states",3536000.00,3111680.00
Gabe,Pruitt,"united states",3517967.00,3095810.96
Chris,Richard,"united states",944984.00,831585.92
Cheikh,Samb,"united states",332615.00,292701.20
Luis,Scola,"united states",482313.00,424435.44
Ramon,Sessions,"united states",2924653.00,2573694.64
Courtney,Sims,"united states",1946357.00,1712794.16
Jason,Smith,"united states",2261667.00,1990266.96
Rodney,Stuckey,"united states",1922334.00,1691653.92
Al,Thornton,"united states",1834548.00,1614402.24
Alando,Tucker,"united states",1831304.00,1611547.52
Darius,Washington,"united states",242493.00,213393.84
Darryl,Watkins,"united states",735644.00,647366.72
C.J.,Watson,"united states",3109312.00,2736194.56
Mario,West,"united states",1480702.00,1303017.76
Sean,Williams,"united states",1340446.00,1179592.48
Brandan,Wright,"united states",2342220.00,2061153.60
Julian,Wright,"united states",1360337.00,1197096.56
Nick,Young,"united states",2223899.00,1957031.12
Thaddeus,Young,"united states",223686.00,196843.68
Alexis,Ajin�a,"united states",2017155.00,1775096.40
Joe,Alexander,"united states",325548.00,286482.24
Ryan,Anderson,"united states",59358.00,52235.04
Darrell,Arthur,"united states",3485695.00,3067411.60
D.J.,Augustin,"united states",405084.00,356473.92
Nicolas,Batum,"united states",817673.00,719552.24
Jerryd,Bayless,"united states",3595615.00,3164141.20
Michael,Beasley,"united states",1888162.00,1661582.56
Bobby,Brown,"united states",3499624.00,3079669.12
Mario,Chalmers,"united states",1978090.00,1740719.20
Joe,Crawford,"united states",234195.00,206091.60
Joey,Dorsey,"united states",2788737.00,2454088.56
Chris,Douglas-Roberts,"united states",3289497.00,2894757.36
Goran,Dragic,"united states",2294561.00,2019213.68
Rudy,Fern�ndez,"united states",2028484.00,1785065.92
Danilo,Gallinari,"united states",3594046.00,3162760.48
Marc,Gasol,"united states",851601.00,749408.88
J.R.,Giddens,"united states",2416591.00,2126600.08
Eric,Gordon,"united states",1591046.00,1400120.48
Dont�,Greene,"united states",272928.00,240176.64
Hamed,Haddadi,"united states",251485.00,221306.80
Malik,Hairston,"united states",2321862.00,2043238.56
Roy,Hibbert,"united states",366654.00,322655.52
J.J.,Hickson,"united states",2875441.00,2530388.08
George,Hill,"united states",1491952.00,1312917.76
Steven,Hill,"united states",262071.00,230622.48
Othello,Hunter,"united states",979730.00,862162.40
Darnell,Jackson,"united states",401974.00,353737.12
Nathan,Jawai,"united states",2106690.00,1853887.20
Dontell,Jefferson,"united states",1961024.00,1725701.12
Trey,Johnson,"united states",3880031.00,3414427.28
DeAndre,Jordan,"united states",2420528.00,2130064.64
Kosta,Koufos,"united states",3882688.00,3416765.44
Rob,Kurz,"united states",1643645.00,1446407.60
Courtney,Lee,"united states",3828372.00,3368967.36
Brook,Lopez,"united states",3257323.00,2866444.24
Robin,Lopez,"united states",3981190.00,3503447.20
Kevin,Love,"united states",320276.00,281842.88
Cartier,Martin,"united states",3813499.00,3355879.12
O.J.,Mayo,"united states",3083685.00,2713642.80
Luc,Moute,"united states",331988.00,292149.44
JaVale,McGee,"united states",3372813.00,2968075.44
Anthony,Morrow,"united states",2965523.00,2609660.24
DeMarcus,Nelson,"united states",281588.00,247797.44
Greg,Oden,"united states",3135566.00,2759298.08
Anthony,Randolph,"united states",1347163.00,1185503.44
Derrick,Rose,"united states",3764022.00,3312339.36
Brandon,Rush,"united states",3878653.00,3413214.64
Walter,Sharpe,"united states",1549064.00,1363176.32
Sean,Singletary,"united states",3075084.00,2706073.92
Will,Solomon,"united states",770361.00,677917.68
Marreese,Speights,"united states",2024229.00,1781321.52
Mike,Taylor,"united states",2975385.00,2618338.80
Jason,Thompson,"united states",1840547.00,1619681.36
Anthony,Tolliver,"united states",976432.00,859260.16
Roko,Ukic,"united states",2271314.00,1998756.32
Henry,Walker,"united states",1838812.00,1618154.56
Kyle,Weaver,"united states",1497943.00,1318189.84
Sonny,Weems,"united states",2649069.00,2331180.72
Russell,Westbrook,"united states",2197269.00,1933596.72
D.J.,White,"united states",397309.00,349631.92
Jawad,Williams,"united states",2145590.00,1888119.20
Sun,Yue,"united states",3716331.00,3270371.28
David,Andersen,"united states",3819299.00,3360983.12
Antonio,Anderson,"united states",1636757.00,1440346.16
Jeff,Ayres,"united states",1911208.00,1681863.04
Rodrigue,Beaubois,"united states",3952298.00,3478022.24
DeJuan,Blair,"united states",295490.00,260031.20
Jon,Brockman,"united states",445478.00,392020.64
Derrick,Brown,"united states",798808.00,702951.04
Chase,Budinger,"united states",1178639.00,1037202.32
Omri,Casspi,"united states",946887.00,833260.56
Earl,Clark,"united states",586273.00,515920.24
Darren,Collison,"united states",2740722.00,2411835.36
Dante,Cunningham,"united states",2062942.00,1815388.96
JamesOn,Curry,"united states",3702892.00,3258544.96
Stephen,Curry,"united states",2091426.00,1840454.88
Austin,Daye,"united states",2942480.00,2589382.40
DeMar,DeRozan,"united states",1835318.00,1615079.84
Toney,Douglas,"united states",2799312.00,2463394.56
Wayne,Ellington,"united states",3437192.00,3024728.96
Tyreke,Evans,"united states",2681346.00,2359584.48
Jonny,Flynn,"united states",3982930.00,3504978.40
Sundiata,Gaines,"united states",2022672.00,1779951.36
Alonzo,Gee,"united states",2243555.00,1974328.40
Taj,Gibson,"united states",2637197.00,2320733.36
Trey,Gilder,"united states",143714.00,126468.32
Danny,Green,"united states",2995794.00,2636298.72
Marcus,Haislip,"united states",3626674.00,3191473.12
Tyler,Hansbrough,"united states",1944667.00,1711306.96
James,Harden,"united states",90642.00,79764.96
Gerald,Henderson,"united states",361736.00,318327.68
Jordan,Hill,"united states",2557515.00,2250613.20
Jrue,Holiday,"united states",248950.00,219076.00
Lester,Hudson,"united states",3927341.00,3456060.08
Chris,Hunter,"united states",3919336.00,3449015.68
Serge,Ibaka,"united states",54149.00,47651.12
Cedric,Jackson,"united states",2217763.00,1951631.44
Othyus,Jeffers,"united states",2317377.00,2039291.76
Brandon,Jennings,"united states",1211909.00,1066479.92
Jonas,Jerebko,"united states",3847155.00,3385496.40
James,Johnson,"united states",769142.00,676844.96
Oliver,Lafayette,"united states",1308455.00,1151440.40
Marcus,Landry,"united states",1053116.00,926742.08
Ty,Lawson,"united states",2563786.00,2256131.68
Wesley,Matthews,"united states",640065.00,563257.20
Eric,Maynor,"united states",3925077.00,3454067.76
Jodie,Meeks,"united states",116736.00,102727.68
Patty,Mills,"united states",3540234.00,3115405.92
Byron,Mullens,"united states",3650576.00,3212506.88
A.J.,Price,"united states",2852061.00,2509813.68
DaJuan,Summers,"united states",947850.00,834108.00
Jermaine,Taylor,"united states",1921336.00,1690775.68
Jeff,Teague,"united states",3974743.00,3497773.84
Garrett,Temple,"united states",2266959.00,1994923.92
Hasheem,Thabeet,"united states",1755502.00,1544841.76
Marcus,Thornton,"united states",2975034.00,2618029.92
Reggie,Williams,"united states",2896966.00,2549330.08
Terrence,Williams,"united states",2626257.00,2311106.16
Sam,Young,"united states",1001941.00,881708.08
Jeff,Adrien,"united states",45779.00,40285.52
Solomon,Alabi,"united states",1144090.00,1006799.20
Cole,Aldrich,"united states",1704186.00,1499683.68
Al-Farouq,Aminu,"united states",684130.00,602034.40
James,Anderson,"united states",1566047.00,1378121.36
�mer,Asik,"united states",59322.00,52203.36
Luke,Babbitt,"united states",2074021.00,1825138.48
Eric,Bledsoe,"united states",1749401.00,1539472.88
Trevor,Booker,"united states",2771987.00,2439348.56
Craig,Brackins,"united states",3239490.00,2850751.20
Avery,Bradley,"united states",2031531.00,1787747.28
Derrick,Caracter,"united states",1443690.00,1270447.20
Sherron,Collins,"united states",1146331.00,1008771.28
Marcus,Cousin,"united states",787083.00,692633.04
DeMarcus,Cousins,"united states",3815643.00,3357765.84
Jordan,Crawford,"united states",1030847.00,907145.36
Ed,Davis,"united states",1228338.00,1080937.44
Devin,Ebanks,"united states",2080619.00,1830944.72
Semih,Erden,"united states",3996904.00,3517275.52
Jeremy,Evans,"united states",3108848.00,2735786.24
Christian,Eyenga,"united states",2181546.00,1919760.48
Derrick,Favors,"united states",3230309.00,2842671.92
Landry,Fields,"united states",1225466.00,1078410.08
Gary,Forbes,"united states",3629811.00,3194233.68
Paul,George,"united states",3989790.00,3511015.20
Blake,Griffin,"united states",976240.00,859091.20
Luke,Harangody,"united states",128893.00,113425.84
Manny,Harris,"united states",1217765.00,1071633.20
Gordon,Hayward,"united states",287877.00,253331.76
Lazar,Hayward,"united states",1489125.00,1310430.00
Xavier,Henry,"united states",2462318.00,2166839.84
Damion,James,"united states",2230747.00,1963057.36
Eugene,Jeter,"united states",1435620.00,1263345.60
Armon,Johnson,"united states",2236734.00,1968325.92
Chris,Johnson,"united states",1839347.00,1618625.36
Wesley,Johnson,"united states",2658875.00,2339810.00
Dominique,Jones,"united states",1265979.00,1114061.52
Jeremy,Lin,"united states",514662.00,452902.56
Greg,Monroe,"united states",2454596.00,2160044.48
Timofey,Mozgov,"united states",1531824.00,1348005.12
Hamady,N'Diaye,"united states",757817.00,666878.96
Gary,Neal,"united states",1677376.00,1476090.88
Larry,Owens,"united states",2072008.00,1823367.04
Patrick,Patterson,"united states",3854306.00,3391789.28
Nikola,Pekovic,"united states",46478.00,40900.64
Dexter,Pittman,"united states",427585.00,376274.80
Quincy,Pondexter,"united states",857053.00,754206.64
Andy,Rautins,"united states",459058.00,403971.04
Samardo,Samuels,"united states",1255110.00,1104496.80
Larry,Sanders,"united states",3461648.00,3046250.24
Kevin,S�raphin,"united states",2425029.00,2134025.52
Mustafa,Shakur,"united states",3948589.00,3474758.32
Ish,Smith,"united states",1668576.00,1468346.88
Tiago,Splitter,"united states",2767653.00,2435534.64
Lance,Stephenson,"united states",1348798.00,1186942.24
Pape,Sy,"united states",3107347.00,2734465.36
Ekpe,Udoh,"united states",2513543.00,2211917.84
Ben,Uzoh,"united states",2937499.00,2584999.12
Greivis,V�squez,"united states",3293236.00,2898047.68
John,Wall,"united states",73973.00,65096.24
Willie,Warren,"united states",1403577.00,1235147.76
Hassan,Whiteside,"united states",2427407.00,2136118.16
Lavoy,Allen,"united states",863284.00,759689.92
Gustavo,Ay�n,"united states",1542998.00,1357838.24
Keith,Benson,"united states",2130462.00,1874806.56
Bismack,Biyombo,"united states",3081667.00,2711866.96
MarShon,Brooks,"united states",2797883.00,2462137.04
Alec,Burks,"united states",2178966.00,1917490.08
Jimmy,Butler,"united states",885185.00,778962.80
Derrick,Byars,"united states",867901.00,763752.88
Norris,Cole,"united states",523460.00,460644.80
Eric,Dawson,"united states",1060286.00,933051.68
Justin,Dentmon,"united states",3929098.00,3457606.24
Kenneth,Faried,"united states",3331254.00,2931503.52
Courtney,Fortson,"united states",2219249.00,1952939.12
Jimmer,Fredette,"united states",2627443.00,2312149.84
Enes,Freedom,"united states",2222862.00,1956118.56
Mickell,Gladness,"united states",635950.00,559636.00
Andrew,Goudelock,"united states",3144466.00,2767130.08
Jordan,Hamilton,"united states",3084275.00,2714162.00
Justin,Harper,"united states",1713076.00,1507506.88
Josh,Harrellson,"united states",3262401.00,2870912.88
Terrel,Harris,"united states",2781599.00,2447807.12
Tobias,Harris,"united states",944886.00,831499.68
Cory,Higgins,"united states",159384.00,140257.92
Darington,Hobson,"united states",1183711.00,1041665.68
Tyler,Honeycutt,"united states",207754.00,182823.52
Kyrie,Irving,"united states",711563.00,626175.44
Reggie,Jackson,"united states",1224254.00,1077343.52
Charles,Jenkins,"united states",1978648.00,1741210.24
Ivan,Johnson,"united states",369275.00,324962.00
JaJuan,Johnson,"united states",2545634.00,2240157.92
Jerome,Jordan,"united states",426843.00,375621.84
Cory,Joseph,"united states",1479058.00,1301571.04
D.J.,Kennedy,"united states",108589.00,95558.32
Brandon,Knight,"united states",2847602.00,2505889.76
Malcolm,Lee,"united states",2929206.00,2577701.28
Kawhi,Leonard,"united states",291614.00,256620.32
Travis,Leslie,"united states",2214075.00,1948386.00
Jon,Leuer,"united states",3390887.00,2983980.56
DeAndre,Liggins,"united states",382067.00,336218.96
Shelvin,Mack,"united states",959307.00,844190.16
Vernon,Macklin,"united states",1225891.00,1078784.08
E'Twaun,Moore,"united states",3446864.00,3033240.32
Darius,Morris,"united states",1696515.00,1492933.20
Marcus,Morris,"united states",1108438.00,975425.44
Markieff,Morris,"united states",3142594.00,2765482.72
Daniel,Orton,"united states",1403272.00,1234879.36
Jeremy,Pargo,"united states",636242.00,559892.96
Chandler,Parsons,"united states",2956345.00,2601583.60
Ryan,Reid,"united states",3870809.00,3406311.92
Ricky,Rubio,"united states",858409.00,755399.92
Josh,Selby,"united states",2507677.00,2206755.76
Iman,Shumpert,"united states",3162787.00,2783252.56
Xavier,Silas,"united states",1978199.00,1740815.12
Chris,Singleton,"united states",3097117.00,2725462.96
Donald,Sloan,"united states",3256389.00,2865622.32
Greg,Smith,"united states",3086617.00,2716222.96
Nolan,Smith,"united states",325815.00,286717.20
Greg,Stiemsma,"united states",3608861.00,3175797.68
Julyan,Stone,"united states",2538166.00,2233586.08
Isaiah,Thomas,"united states",1855701.00,1633016.88
Lance,Thomas,"united states",1777130.00,1563874.40
Malcolm,Thomas,"united states",742742.00,653612.96
Trey,Thompkins,"united states",1187400.00,1044912.00
Klay,Thompson,"united states",1455233.00,1280605.04
Mychel,Thompson,"united states",962834.00,847293.92
Tristan,Thompson,"united states",3227094.00,2839842.72
Jeremy,Tyler,"united states",222621.00,195906.48
Edwin,Ubiles,"united states",612577.00,539067.76
Jan,Vesel�,"united states",2364857.00,2081074.16
Nikola,Vucevic,"united states",2633479.00,2317461.52
Kemba,Walker,"united states",238424.00,209813.12
Derrick,Williams,"united states",3187900.00,2805352.00
Elliot,Williams,"united states",3174348.00,2793426.24
Chris,Wright,"united states",3427068.00,3015819.84
Quincy,Acy,"united states",16524.00,14541.12
Josh,Akognon,"united states",3250033.00,2860029.04
Harrison,Barnes,"united states",2473262.00,2176470.56
Will,Barton,"united states",2561272.00,2253919.36
Aron,Baynes,"united states",1926872.00,1695647.36
Kent,Bazemore,"united states",3976878.00,3499652.64
Bradley,Beal,"united states",3692724.00,3249597.12
Patrick,Beverley,"united states",176768.00,155555.84
Victor,Claver,"united states",2124070.00,1869181.60
Chris,Copeland,"united states",2416593.00,2126601.84
Jae,Crowder,"united states",993991.00,874712.08
Jared,Cunningham,"united states",1634338.00,1438217.44
Anthony,Davis,"united states",1411947.00,1242513.36
Nando,Colo,"united states",3816093.00,3358161.84
Andre,Drummond,"united states",2790429.00,2455577.52
Kim,English,"united states",3820725.00,3362238.00
Festus,Ezeli,"united states",199571.00,175622.48
Evan,Fournier,"united states",3692733.00,3249605.04
Joel,Freeland,"united states",905049.00,796443.12
Diante,Garrett,"united states",3444842.00,3031460.96
Draymond,Green,"united states",548010.00,482248.80
Ben,Hansbrough,"united states",2266759.00,1994747.92
Maurice,Harkless,"united states",3998087.00,3518316.56
John,Henson,"united states",596974.00,525337.12
Justin,Holiday,"united states",1932437.00,1700544.56
Bernard,James,"united states",1425914.00,1254804.32
John,Jenkins,"united states",3713910.00,3268240.80
Orlando,Johnson,"united states",1731059.00,1523331.92
Darius,Johnson-Odom,"united states",3464934.00,3049141.92
DeQuan,Jones,"united states",2254222.00,1983715.36
Kevin,Jones,"united states",3645820.00,3208321.60
Perry,Jones,"united states",982585.00,864674.80
Terrence,Jones,"united states",1856733.00,1633925.04
Kris,Joseph,"united states",2434670.00,2142509.60
Michael,Kidd-Gilchrist,"united states",1548143.00,1362365.84
Viacheslav,Kravtsov,"united states",3502695.00,3082371.60
Doron,Lamb,"united states",617923.00,543772.24
Jeremy,Lamb,"united states",3602215.00,3169949.20
Meyers,Leonard,"united states",356624.00,313829.12
Damian,Lillard,"united states",3995295.00,3515859.60
Scott,Machado,"united states",1680859.00,1479155.92
Kendall,Marshall,"united states",3656056.00,3217329.28
Fab,Melo,"united states",3978668.00,3501227.84
Khris,Middleton,"united states",466965.00,410929.20
Darius,Miller,"united states",1567647.00,1379529.36
Quincy,Miller,"united states",1064334.00,936613.92
Donatas,Motiejunas,"united states",19671.00,17310.48
Arnett,Moultrie,"united states",2794754.00,2459383.52
Kevin,Murphy,"united states",923283.00,812489.04
Andrew,Nicholson,"united states",389604.00,342851.52
Kyle,O'Quinn,"united states",2614219.00,2300512.72
Tim,Ohlbrecht,"united states",3259426.00,2868294.88
Miles,Plumlee,"united states",3110449.00,2737195.12
Austin,Rivers,"united states",638427.00,561815.76
Brian,Roberts,"united states",1319800.00,1161424.00
Thomas,Robinson,"united states",3248923.00,2859052.24
Terrence,Ross,"united states",2527114.00,2223860.32
Robert,Sacre,"united states",876624.00,771429.12
Mike,Scott,"united states",1547849.00,1362107.12
Tornike,Shengelia,"united states",3017325.00,2655246.00
Alexey,Shved,"united states",3882960.00,3417004.80
Henry,Sims,"united states",900928.00,792816.64
Kyle,Singler,"united states",2940159.00,2587339.92
Jared,Sullinger,"united states",2187381.00,1924895.28
Jeff,Taylor,"united states",3098820.00,2726961.60
Marquis,Teague,"united states",3191164.00,2808224.32
Mirza,Teletovic,"united states",1643569.00,1446340.72
Jonas,Valanciunas,"united states",3223164.00,2836384.32
Jarvis,Varnado,"united states",105204.00,92579.52
Dion,Waiters,"united states",3578254.00,3148863.52
Maalik,Wayns,"united states",1778133.00,1564757.04
Tony,Wroten,"united states",3489428.00,3070696.64
Tyler,Zeller,"united states",2287342.00,2012860.96
Steven,Adams,"united states",1579621.00,1390066.48
Giannis,Antetokounmpo,"united states",2128376.00,1872970.88
Pero,Antic,"united states",1528850.00,1345388.00
Chris,Babb,"united states",1892764.00,1665632.32
Anthony,Bennett,"united states",109378.00,96252.64
Vander,Blue,"united states",2543574.00,2238345.12
Lorenzo,Brown,"united states",3925028.00,3454024.64
Reggie,Bullock,"united states",2934366.00,2582242.08
Trey,Burke,"united states",3912430.00,3442938.40
Dwight,Buycks,"united states",2696399.00,2372831.12
Nick,Calathes,"united states",917542.00,807436.96
Kentavious,Caldwell-Pope,"united states",3900565.00,3432497.20
Isaiah,Canaan,"united states",375081.00,330071.28
Michael,Carter-Williams,"united states",2031432.00,1787660.16
Ian,Clark,"united states",1427793.00,1256457.84
Robert,Covington,"united states",2330735.00,2051046.80
Allen,Crabbe,"united states",751875.00,661650.00
Seth,Curry,"united states",405660.00,356980.80
Troy,Daniels,"united states",989322.00,870603.36
Gigi,Datome,"united states",1230388.00,1082741.44
Brandon,Davies,"united states",2887570.00,2541061.60
Dewayne,Dedmon,"united states",1032326.00,908446.88
Matthew,Dellavedova,"united states",3072980.00,2704222.40
Gorgui,Dieng,"united states",631109.00,555375.92
Shane,Edwards,"united states",307396.00,270508.48
V�tor,Faverani,"united states",3804258.00,3347747.04
Carrick,Felix,"united states",1514356.00,1332633.28
Jamaal,Franklin,"united states",1548296.00,1362500.48
Rudy,Gobert,"united states",2950094.00,2596082.72
Archie,Goodwin,"united states",422842.00,372100.96
Jorge,Guti�rrez,"united states",1892719.00,1665592.72
Justin,Hamilton,"united states",1365402.00,1201553.76
Tim,Jr.,"united states",2677560.00,2356252.80
Elias,Harris,"united states",1178447.00,1037033.36
Solomon,Hill,"united states",893958.00,786683.04
Scotty,Hopson,"united states",3632734.00,3196805.92
Robbie,Hummel,"united states",1850687.00,1628604.56
Sergey,Karasev,"united states",3289524.00,2894781.12
Ryan,Kelly,"united states",1327359.00,1168075.92
Ognjen,Kuzmic,"united states",2791505.00,2456524.40
Shane,Larkin,"united states",3081212.00,2711466.56
Ricky,Ledo,"united states",1711066.00,1505738.08
Alex,Len,"united states",1464318.00,1288599.84
Ray,McCallum,"united states",3367639.00,2963522.32
CJ,McCollum,"united states",3939273.00,3466560.24
Ben,McLemore,"united states",1124185.00,989282.80
Gal,Mekel,"united states",1233371.00,1085366.48
Tony,Mitchell,"united states",1800135.00,1584118.80
Shabazz,Muhammad,"united states",2787227.00,2452759.76
Erik,Murphy,"united states",3596955.00,3165320.40
Toure',Murry,"united states",655769.00,577076.72
Mike,Muscala,"united states",87018.00,76575.84
Nemanja,Nedovic,"united states",3751437.00,3301264.56
James,Nunnally,"united states",1625853.00,1430750.64
Victor,Oladipo,"united states",3492482.00,3073384.16
Kelly,Olynyk,"united states",2133511.00,1877489.68
Arinze,Onuaku,"united states",1893340.00,1666139.20
Mason,Plumlee,"united states",3318088.00,2919917.44
Otto,Jr.,"united states",1483622.00,1305587.36
Phil,Pressey,"united states",601374.00,529209.12
Miroslav,Raduljica,"united states",2438073.00,2145504.24
Glen,Jr.,"united states",911022.00,801699.36
Andre,Roberson,"united states",3769514.00,3317172.32
Dennis,Schr�der,"united states",3235082.00,2846872.16
Peyton,Siva,"united states",3132973.00,2757016.24
Chris,Smith,"united states",1990935.00,1752022.80
Tony,Snell,"united states",3655411.00,3216761.68
James,Southerland,"united states",1071066.00,942538.08
D.J.,Stephens,"united states",1509799.00,1328623.12
Adonis,Thomas,"united states",3580517.00,3150854.96
Hollis,Thompson,"united states",2884188.00,2538085.44
Casper,Ware,"united states",2668729.00,2348481.52
Royce,White,"united states",2814514.00,2476772.32
Jeff,Withey,"united states",2661266.00,2341914.08
